# (c) Statistisches Bundesamt, Wiesbaden 2014
# 
# Ergebnisse der repräsentativen Wahlstatistik zur Bundestagswahl 2013
# Wahlberechtigte, Wähler und Wahlbeteiligung nach Geschlecht und Altersgruppen in den Ländern 2013
# 
Geburtsjahresgruppe;Alter von ... bis unter ... Jahren;Insgesamt;;;;;;;;;Männer;;;;;;;;;Frauen;;;;;;;;
;;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1;Wahlberechtigte;;;;;;Wähler;;Wahlbeteiligung1
;;insgesamt;;mit;;ohne;;;;;zusammen;;mit;;ohne;;;;;zusammen;;mit;;ohne;;;;
;;;;Wahlschein;;;;;;;;;Wahlschein;;;;;;;;;Wahlschein;;;;;;
;;1000;%;1000;%;1000;%;1000;%;;1000;%;1000;%;1000;%;1000;%;;1000;%;1000;%;1000;%;1000;%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Schleswig-Holstein;;;;;;;;;;;;;;;;;;;;;;;;;;
1979 - 1983;30 - 35;309,3733479;7,010069128;47,45836485;6,08712935;261,9149831;7,208100546;156,9608539;6,321908655;66,07525182;151,9461144;7,131858525;23,16669113;6,524788551;128,7794233;7,253259752;77,15442491;6,296042666;66,02414048;157,4272335;6,896400924;24,29167372;5,721147669;133,1355598;7,164950756;79,80642894;6,347117966;66,12458363
1974 - 1978;35 - 40;282,4998461;6,401144323;38,04476948;4,87971791;244,4550766;6,727590573;158,9426625;6,401729915;69,7301024;143,5052325;6,735670865;19,29346521;5,433912863;124,2117673;6,995995086;80,90773966;6,602324902;69,82407757;138,9946135;6,088924769;18,75130427;4,416286088;120,2433093;6,47112906;78,03492281;6,206227582;69,63307758
1969 - 1973;40 - 45;350,4162999;7,940058517;44,56704747;5,716281704;305,8492524;8,417205223;213,2806876;8,590301286;73,58325943;174,6967586;8,199700084;21,49182555;6,053070615;153,204933;8,628980828;104,0859124;8,493736376;71,88326731;175,7195413;7,697730438;23,07522191;5,434650308;152,6443194;8,214852843;109,1947752;8,684414631;75,27335667
1964 - 1968;45 - 50;465,6506394;10,55114538;66,88766913;8,579180829;398,7629703;10,97426176;289,6072164;11,66450311;76,55844431;235,5138909;11,05425931;32,53270731;9,162682534;202,9811836;11,43253488;146,2791771;11,93683889;75,92413497;230,1367486;10,08158023;34,35496182;8,091241961;195,7817867;10,53638009;143,3280393;11,39908132;77,20757428
1954 - 1963;50 - 60;806,5098035;18,27464943;137,4527316;17,63003339;669,0570719;18,41296206;488,6566153;19,68161112;77,63195738;401,8839988;18,86313338;63,07164485;17,76382928;338,8123539;19,08297108;248,6847327;20,29345289;77,57372238;404,6258048;17,72540692;74,38108679;17,51814989;330,244718;17,77276594;239,9718826;19,08530262;77,68979776
1944 - 1953;60 - 70;604,6955241;13,70175373;136,2003319;17,46939745;468,4951922;12,89334581;356,4890425;14,35830086;81,47726497;296,153939;13,90050679;64,16869278;18,07280762;231,9852463;13,06613438;176,8681926;14,43299835;81,38905266;308,541585;13,51625399;72,03163913;16,96481062;236,5099459;12,7282457;179,6208499;14,28549978;81,56193564
1943 und früher;70 und mehr;869,4991991;19,70192175;208,4386871;26,73487074;661,0605121;18,19289062;459,9898005;18,52699848;76,8751125;361,4248397;16,96411148;86,97252129;24,49539764;274,4523184;15,45801265;208,3479915;17,00184851;81,71007645;508,0743594;22,25716863;121,4661658;28,60757472;386,6081937;20,80607671;251,641809;20,01342834;73,43570243
Zusammen;;4413,271;100;779,651;100;3633,62;100;2482,808;100;73,9238311;2130,5262;100;355,0565807;100;1775,469619;100;1225,443171;100;74,18353982;2282,7448;100;424,5944193;100;1858,150381;100;1257,364829;100;73,68144034
;;Thüringen;;;;;;;;;;;;;;;;;;;;;;;;;;
1993 - 1995;18 - 21;34,16778317;1,862756741;2,945327174;1,391359495;31,222456;1,924257044;17,57689098;1,677486777;60,06306598;17,83966219;1,9951351;1,313594171;1,37119721;16,52606802;2,070004509;9,449493799;1,830449003;60,33235303;16,32812098;1,736847721;1,631733002;1,408026702;14,69638798;1,783081388;8,127397177;1,528936624;59,76885025
